years,population
1350,30000
1400,40000
1600,100000
1710,160000
1725,145000
1738,138400
1750,130000
1775,161000
1785,188700
1800,250000
1811,270200
1813,215000
1825,241500
1830,305600
1835,335800
1840,349100
1847,353300
1852,373800
1856,368800
1858,377800
1859,379300
1868,416400
1871,601969
1882,753500
1886,753459
1891,822400
1900,1175000
1902,1174700
1907,1345700
1908,1359200
1912,1617157
1913,1563100
1914,1762700
1915,1817000
1917,1854400
1920,1028200
1926,1995252
1936,3641500
1943,2743600
1956,4839000
1963,6354000
1970,6941961
1979,7830509
1985,8652000
1987,8815000
1991,9017415
1992,9067808
1993,9066025
1994,9066612
1995,9085457
1996,9246727
1997,9411236
1998,9604297
1999,9783242
2000,9932932
2001,10114203
2002,10382754
2003,10386903
2004,10535681
2005,10726429
2006,10923762
2007,11091428
2008,11186851
2009,11281631
2010,11503501
2011,11776764
2012,11856578
2013,11979529
